Processing Time for 2022/04/01/0000H:  1.218935489654541 seconds
Processing Time for 2022/07/02/1500H:  6.581105709075928 seconds
Processing Time for 2022/07/02/1600H:  8.797451734542847 seconds
Processing Time for 2022/07/02/1700H:  5.979705333709717 seconds
Processing Time for 2022/07/02/1800H:  11.567991018295288 seconds
Processing Time for 2022/07/02/1900H:  9.720993041992188 seconds
Processing Time for 2022/07/02/2000H:  10.780451536178589 seconds
Processing Time for 2022/07/02/2100H:  6.067888021469116 seconds
Processing Time for 2022/07/02/2200H:  2.489339828491211 seconds
Processing Time for 2022/07/02/2300H:  1.0596585273742676 seconds
Processing Time for 2022/07/03/0000H:  0.5821537971496582 seconds
Processing Time for 2022/07/03/0100H:  0.3466932773590088 seconds
Processing Time for 2022/07/03/0200H:  0.13805747032165527 seconds
Processing Time for 2022/07/03/0300H:  0.30554866790771484 seconds
Processing Time for 2022/07/03/0400H:  0.27721190452575684 seconds
Processing Time for 2022/07/03/0500H:  2.1617584228515625 seconds
Processing Time for 2022/07/03/0600H:  2.504901647567749 seconds
Processing Time for 2022/07/03/0700H:  6.942746639251709 seconds
Processing Time for 2022/07/03/0800H:  4.957247972488403 seconds
Processing Time for 2022/07/03/0900H:  13.797929048538208 seconds
Processing Time for 2022/07/03/1000H:  13.061258554458618 seconds
Processing Time for 2022/07/03/1100H:  7.368747234344482 seconds
Processing Time for 2022/07/03/1200H:  12.173658609390259 seconds
Processing Time for 2022/07/03/1300H:  3.225461721420288 seconds
Processing Time for 2022/07/03/1400H:  9.47763991355896 seconds
Processing Time for 2022/07/03/1500H:  5.349691390991211 seconds
Processing Time for 2022/07/03/1600H:  9.321021795272827 seconds
Processing Time for 2022/07/03/1700H:  5.783685684204102 seconds
Processing Time for 2022/07/03/1800H:  11.763254880905151 seconds
Processing Time for 2022/07/03/1900H:  11.391472339630127 seconds
Processing Time for 2022/07/03/2000H:  9.70961880683899 seconds
Processing Time for 2022/07/03/2100H:  5.337472200393677 seconds
Processing Time for 2022/07/03/2200H:  2.7986900806427 seconds
Processing Time for 2022/07/03/2300H:  0.6150107383728027 seconds
Processing Time for 2022/07/04/0000H:  0.505474328994751 seconds
Processing Time for 2022/07/04/0100H:  0.30650758743286133 seconds
Processing Time for 2022/07/04/0200H:  0.3154110908508301 seconds
Processing Time for 2022/07/04/0300H:  0.31918931007385254 seconds
Processing Time for 2022/07/04/0400H:  0.5200128555297852 seconds
Processing Time for 2022/07/04/0500H:  2.176868438720703 seconds
Processing Time for 2022/07/04/0600H:  3.65588116645813 seconds
Processing Time for 2022/07/04/0700H:  7.497577905654907 seconds
Processing Time for 2022/07/04/0800H:  4.161682605743408 seconds
Processing Time for 2022/07/04/0900H:  13.220907211303711 seconds
Processing Time for 2022/07/04/1000H:  12.451678276062012 seconds
Processing Time for 2022/07/04/1100H:  7.601733446121216 seconds
Processing Time for 2022/07/04/1200H:  12.724390983581543 seconds
Processing Time for 2022/07/04/1300H:  3.2666289806365967 seconds
Processing Time for 2022/07/04/1400H:  9.650410413742065 seconds
Processing Time for 2022/07/04/1500H:  4.42449688911438 seconds
Processing Time for 2022/07/04/1600H:  9.21029281616211 seconds
Processing Time for 2022/07/04/1700H:  5.63161826133728 seconds
Processing Time for 2022/07/04/1800H:  12.70681381225586 seconds
Processing Time for 2022/07/04/1900H:  11.737892389297485 seconds
Processing Time for 2022/07/04/2000H:  11.329423189163208 seconds
Processing Time for 2022/07/04/2100H:  5.941406011581421 seconds
Processing Time for 2022/07/04/2200H:  4.050173044204712 seconds
Processing Time for 2022/07/04/2300H:  1.2104804515838623 seconds
Processing Time for 2022/07/05/0000H:  0.805422306060791 seconds
Processing Time for 2022/07/05/0100H:  0.6636250019073486 seconds
Processing Time for 2022/07/05/0200H:  0.5128030776977539 seconds
Processing Time for 2022/07/05/0300H:  0.49632883071899414 seconds
Processing Time for 2022/07/05/0400H:  0.6634647846221924 seconds
Processing Time for 2022/07/05/0500H:  2.5661239624023438 seconds
Processing Time for 2022/07/05/0600H:  3.9968101978302 seconds
Processing Time for 2022/07/05/0700H:  7.767515182495117 seconds
Processing Time for 2022/07/05/0800H:  3.957021474838257 seconds
Processing Time for 2022/07/05/0900H:  12.980324268341064 seconds
Processing Time for 2022/07/05/1000H:  12.885612726211548 seconds
Processing Time for 2022/07/05/1100H:  7.59375 seconds
Processing Time for 2022/07/05/1200H:  11.058799743652344 seconds
Processing Time for 2022/07/05/1300H:  2.315131664276123 seconds
Processing Time for 2022/07/05/1400H:  9.151925325393677 seconds
Processing Time for 2022/07/05/1500H:  5.318392038345337 seconds
Processing Time for 2022/07/05/1600H:  9.313925981521606 seconds
Processing Time for 2022/07/05/1700H:  6.1901304721832275 seconds
Processing Time for 2022/07/05/1800H:  12.465725421905518 seconds
Processing Time for 2022/07/05/1900H:  11.387096405029297 seconds
Processing Time for 2022/07/05/2000H:  11.84503698348999 seconds
Processing Time for 2022/07/05/2100H:  7.2854697704315186 seconds
Processing Time for 2022/07/05/2200H:  5.410089492797852 seconds
Processing Time for 2022/07/05/2300H:  1.3773388862609863 seconds
Processing Time for 2022/07/06/0000H:  1.1774203777313232 seconds
Processing Time for 2022/07/06/0100H:  0.8659911155700684 seconds
Processing Time for 2022/07/06/0200H:  0.6030116081237793 seconds
Processing Time for 2022/07/06/0300H:  0.7220215797424316 seconds
Processing Time for 2022/07/06/0400H:  0.6598410606384277 seconds
Processing Time for 2022/07/06/0500H:  3.566492795944214 seconds
Processing Time for 2022/07/06/0600H:  4.604442834854126 seconds
Processing Time for 2022/07/06/0700H:  8.734150409698486 seconds
Processing Time for 2022/07/06/0800H:  4.947697401046753 seconds
Processing Time for 2022/07/06/0900H:  12.706042289733887 seconds
Processing Time for 2022/07/06/1000H:  13.323509216308594 seconds
Processing Time for 2022/07/06/1100H:  7.333316087722778 seconds
Processing Time for 2022/07/06/1200H:  11.831164598464966 seconds
Processing Time for 2022/07/06/1300H:  2.615328788757324 seconds
Processing Time for 2022/07/06/1400H:  9.528316259384155 seconds
Processing Time for 2022/07/06/1500H:  5.168407678604126 seconds
Processing Time for 2022/07/06/1600H:  11.253351926803589 seconds
Processing Time for 2022/07/06/1700H:  7.360993146896362 seconds
Processing Time for 2022/07/06/1800H:  12.92294955253601 seconds
Processing Time for 2022/07/06/1900H:  11.27370572090149 seconds
Processing Time for 2022/07/06/2000H:  11.072564840316772 seconds
Processing Time for 2022/07/06/2100H:  6.443771839141846 seconds
Processing Time for 2022/07/06/2200H:  4.238129615783691 seconds
Processing Time for 2022/07/06/2300H:  1.286332130432129 seconds
Processing Time for 2022/07/07/0000H:  0.9597151279449463 seconds
Processing Time for 2022/07/07/0100H:  0.7739150524139404 seconds
Processing Time for 2022/07/07/0200H:  0.4588429927825928 seconds
Processing Time for 2022/07/07/0300H:  0.6467435359954834 seconds
Processing Time for 2022/07/07/0400H:  0.6449027061462402 seconds
Processing Time for 2022/07/07/0500H:  2.6748504638671875 seconds
Processing Time for 2022/07/07/0600H:  3.9491639137268066 seconds
Processing Time for 2022/07/07/0700H:  7.773540258407593 seconds
Processing Time for 2022/07/07/0800H:  4.547310829162598 seconds
Processing Time for 2022/07/07/0900H:  12.711798906326294 seconds
Processing Time for 2022/07/07/1000H:  12.885905027389526 seconds
Processing Time for 2022/07/07/1100H:  7.272013187408447 seconds
Processing Time for 2022/07/07/1200H:  12.949198007583618 seconds
Processing Time for 2022/07/07/1300H:  2.3290133476257324 seconds
Processing Time for 2022/07/07/1400H:  9.168965339660645 seconds
Processing Time for 2022/07/07/1500H:  4.647157430648804 seconds
Processing Time for 2022/07/07/1600H:  10.394994974136353 seconds
Processing Time for 2022/07/07/1700H:  5.779700756072998 seconds
Processing Time for 2022/07/07/1800H:  12.862202882766724 seconds
Processing Time for 2022/07/07/1900H:  11.038791179656982 seconds
Processing Time for 2022/07/07/2000H:  10.635442733764648 seconds
Processing Time for 2022/07/07/2100H:  6.717978000640869 seconds
Processing Time for 2022/07/07/2200H:  3.36418080329895 seconds
Processing Time for 2022/07/07/2300H:  1.1690516471862793 seconds
Processing Time for 2022/07/08/0000H:  1.0533418655395508 seconds
Processing Time for 2022/07/08/0100H:  0.4911305904388428 seconds
Processing Time for 2022/07/08/0200H:  0.32550621032714844 seconds
Processing Time for 2022/07/08/0300H:  0.3459157943725586 seconds
Processing Time for 2022/07/08/0400H:  0.5690634250640869 seconds
Processing Time for 2022/07/08/0500H:  2.8065850734710693 seconds
Processing Time for 2022/07/08/0600H:  4.629072427749634 seconds
Processing Time for 2022/07/08/0700H:  7.969874143600464 seconds
Processing Time for 2022/07/08/0800H:  5.047321557998657 seconds
Processing Time for 2022/07/08/0900H:  13.934149026870728 seconds
Processing Time for 2022/07/08/1000H:  12.106236219406128 seconds
Processing Time for 2022/07/08/1100H:  7.899571180343628 seconds
Processing Time for 2022/07/08/1200H:  12.745285987854004 seconds
Processing Time for 2022/07/08/1300H:  3.232717752456665 seconds
Processing Time for 2022/07/08/1400H:  10.9482741355896 seconds
Processing Time for 2022/07/08/1500H:  5.678949594497681 seconds
Processing Time for 2022/07/08/1600H:  10.405689239501953 seconds
Processing Time for 2022/07/08/1700H:  6.661013603210449 seconds
Processing Time for 2022/07/08/1800H:  13.640988826751709 seconds
Processing Time for 2022/07/08/1900H:  12.070079803466797 seconds
Processing Time for 2022/07/08/2000H:  12.291395664215088 seconds
Processing Time for 2022/07/08/2100H:  6.150292873382568 seconds
Processing Time for 2022/07/08/2200H:  4.5737879276275635 seconds
Processing Time for 2022/07/08/2300H:  1.140000820159912 seconds
Processing Time for 2022/07/09/0000H:  0.5897328853607178 seconds
Processing Time for 2022/07/09/0100H:  0.5488686561584473 seconds
Processing Time for 2022/07/09/0200H:  0.5017940998077393 seconds
Processing Time for 2022/07/09/0300H:  0.7370014190673828 seconds
Processing Time for 2022/07/09/0400H:  0.6859595775604248 seconds
Processing Time for 2022/07/09/0500H:  2.56070876121521 seconds
Processing Time for 2022/07/09/0600H:  3.4526731967926025 seconds
Processing Time for 2022/07/09/0700H:  6.812790632247925 seconds
Processing Time for 2022/07/09/0800H:  4.122406005859375 seconds
Processing Time for 2022/07/09/0900H:  12.606167078018188 seconds
Processing Time for 2022/07/09/1000H:  12.228237628936768 seconds
Processing Time for 2022/07/09/1100H:  7.713114261627197 seconds
Processing Time for 2022/07/09/1200H:  11.897911310195923 seconds
Processing Time for 2022/07/09/1300H:  2.536022663116455 seconds
Processing Time for 2022/07/09/1400H:  8.58208680152893 seconds
Processing Time for 2022/07/09/1500H:  4.632347345352173 seconds
Processing Time for 2022/07/09/1600H:  8.931541442871094 seconds
Processing Time for 2022/07/09/1700H:  4.5087244510650635 seconds
Processing Time for 2022/07/09/1800H:  11.630528926849365 seconds
Processing Time for 2022/07/09/1900H:  10.138727188110352 seconds
Processing Time for 2022/07/09/2000H:  10.957874059677124 seconds
Processing Time for 2022/07/09/2100H:  6.127101898193359 seconds
Processing Time for 2022/07/09/2200H:  3.2644741535186768 seconds
Processing Time for 2022/07/09/2300H:  1.108036994934082 seconds
Processing Time for 2022/07/10/0000H:  0.7353744506835938 seconds
Processing Time for 2022/07/10/0100H:  0.6246261596679688 seconds
Processing Time for 2022/07/10/0200H:  0.1791994571685791 seconds
Processing Time for 2022/07/10/0300H:  0.35149693489074707 seconds
Processing Time for 2022/07/10/0400H:  0.31230926513671875 seconds
Processing Time for 2022/07/10/0500H:  2.398690700531006 seconds
Processing Time for 2022/07/10/0600H:  3.701184034347534 seconds
Processing Time for 2022/07/10/0700H:  6.959871530532837 seconds
Processing Time for 2022/07/10/0800H:  3.8799855709075928 seconds
Processing Time for 2022/07/10/0900H:  11.546731948852539 seconds
Processing Time for 2022/07/10/1000H:  12.097854614257812 seconds
Processing Time for 2022/07/10/1100H:  8.35207223892212 seconds
Processing Time for 2022/07/10/1200H:  12.601841926574707 seconds
Processing Time for 2022/07/10/1300H:  2.93660569190979 seconds
Processing Time for 2022/07/10/1400H:  8.979717016220093 seconds
Processing Time for 2022/07/10/1500H:  5.851461172103882 seconds
Processing Time for 2022/07/10/1600H:  10.368471384048462 seconds
Processing Time for 2022/07/10/1700H:  6.23258900642395 seconds
Processing Time for 2022/07/10/1800H:  13.90279245376587 seconds
Processing Time for 2022/07/10/1900H:  13.088968276977539 seconds
Processing Time for 2022/07/10/2000H:  11.979650259017944 seconds
Processing Time for 2022/07/10/2100H:  7.236921072006226 seconds
Processing Time for 2022/07/10/2200H:  7.521888256072998 seconds
Processing Time for 2022/07/10/2300H:  3.790567398071289 seconds
Processing Time for 2022/07/11/0000H:  2.313382625579834 seconds
Processing Time for 2022/07/11/0100H:  1.1466724872589111 seconds
Processing Time for 2022/07/11/0200H:  1.029388666152954 seconds
Processing Time for 2022/07/11/0300H:  1.089036464691162 seconds
Processing Time for 2022/07/11/0400H:  1.113335132598877 seconds
Processing Time for 2022/07/11/0500H:  3.095952033996582 seconds
Processing Time for 2022/07/11/0600H:  3.648160457611084 seconds
Processing Time for 2022/07/11/0700H:  8.03846549987793 seconds
Processing Time for 2022/07/11/0800H:  5.355960845947266 seconds
Processing Time for 2022/07/11/0900H:  13.138144254684448 seconds
Processing Time for 2022/07/11/1000H:  13.930304527282715 seconds
Processing Time for 2022/07/11/1100H:  8.272549390792847 seconds
Processing Time for 2022/07/11/1200H:  12.305898189544678 seconds
Processing Time for 2022/07/11/1300H:  3.505401134490967 seconds
Processing Time for 2022/07/11/1400H:  9.560867547988892 seconds
Processing Time for 2022/07/11/1500H:  6.279994487762451 seconds
Processing Time for 2022/07/11/1600H:  9.433494091033936 seconds
Processing Time for 2022/07/11/1700H:  7.360996961593628 seconds
Processing Time for 2022/07/11/1800H:  12.416785955429077 seconds
Processing Time for 2022/07/11/1900H:  13.128390073776245 seconds
Processing Time for 2022/07/11/2000H:  10.994773387908936 seconds
Processing Time for 2022/07/11/2100H:  6.757387161254883 seconds
Processing Time for 2022/07/11/2200H:  4.30929970741272 seconds
Processing Time for 2022/07/11/2300H:  1.1936595439910889 seconds
Processing Time for 2022/07/12/0000H:  1.0661182403564453 seconds
Processing Time for 2022/07/12/0100H:  0.3189876079559326 seconds
Processing Time for 2022/07/12/0200H:  0.3171384334564209 seconds
Processing Time for 2022/07/12/0300H:  0.6055779457092285 seconds
Processing Time for 2022/07/12/0400H:  0.6604270935058594 seconds
Processing Time for 2022/07/12/0500H:  2.5774199962615967 seconds
Processing Time for 2022/07/12/0600H:  3.8162927627563477 seconds
Processing Time for 2022/07/12/0700H:  8.13641357421875 seconds
Processing Time for 2022/07/12/0800H:  4.843944787979126 seconds
Processing Time for 2022/07/12/0900H:  13.639166831970215 seconds
Processing Time for 2022/07/12/1000H:  12.894824266433716 seconds
Processing Time for 2022/07/12/1100H:  7.772794961929321 seconds
Processing Time for 2022/07/12/1200H:  12.997851610183716 seconds
Processing Time for 2022/07/12/1300H:  2.4321932792663574 seconds
Processing Time for 2022/07/12/1400H:  9.6481614112854 seconds
Processing Time for 2022/07/12/1500H:  4.47139048576355 seconds
Processing Time for 2022/07/12/1600H:  10.297833442687988 seconds
